net,sid,layer,kind,width_um,cuts,i_avg,i_rms,i_peak,imax_avg,ratio_avg,ratio_rms,ratio_peak,worst,worst_kind,tier,x1,y1,x2,y2
VSS,30,Metal1,metal,2.02,0,5.5755e-05,5.5755e-05,5.5755e-05,1.0903e-03,0.0511,0.0,0.0,0.0511,avg,ok,14.5,-2.14,13.0,-2.14
VSS,15,Metal1,metal,0.3,0,8.0737e-06,8.0737e-06,8.0737e-06,1.6193e-04,0.0499,0.0,0.0,0.0499,avg,ok,47.035,0.935,47.035,-1.13
VSS,71,Metal2,metal,2.0,0,1.0543e-04,1.0543e-04,1.0543e-04,2.1591e-03,0.0488,0.0,0.0,0.0488,avg,ok,17.75,-2.15,19.5,-2.15
VSS,72,Metal2,metal,2.0,0,1.0543e-04,1.0543e-04,1.0543e-04,2.1591e-03,0.0488,0.0,0.0,0.0488,avg,ok,21.0,-2.15,19.5,-2.15
VREG,10,Metal1,metal,0.14,0,3.6446e-06,3.6446e-06,3.6446e-06,7.5568e-05,0.0482,0.0,0.0,0.0482,avg,ok,7.078,9.4,7.07,9.565
VSS,25,Metal1,metal,2.02,0,4.8417e-05,4.8417e-05,4.8417e-05,1.0903e-03,0.0444,0.0,0.0,0.0444,avg,ok,8.0,-2.14,9.5,-2.14
VSS,29,Metal1,metal,2.02,0,4.7681e-05,4.7681e-05,4.7681e-05,1.0903e-03,0.0437,0.0,0.0,0.0437,avg,ok,11.25,-2.14,13.0,-2.14
VREG,132,Metal2,metal,0.46,0,2.1123e-05,2.1123e-05,2.1123e-05,4.9659e-04,0.0425,0.0,0.0,0.0425,avg,ok,16.29,10.475,16.27,11.45
VREG,131,Metal2,metal,0.46,0,2.1123e-05,2.1123e-05,2.1123e-05,4.9659e-04,0.0425,0.0,0.0,0.0425,avg,ok,16.25,11.7,16.27,11.45
VSS,69,Metal2,metal,2.0,0,8.7735e-05,8.7735e-05,8.7735e-05,2.1591e-03,0.0406,0.0,0.0,0.0406,avg,ok,14.5,-2.15,16.0,-2.15
VSS,70,Metal2,metal,2.0,0,8.7735e-05,8.7735e-05,8.7735e-05,2.1591e-03,0.0406,0.0,0.0,0.0406,avg,ok,17.75,-2.15,16.0,-2.15
VREG,158,Metal2,metal,0.5,0,2.0425e-05,2.0425e-05,2.0425e-05,5.3977e-04,0.0378,0.0,0.0,0.0378,avg,ok,34.89,10.475,35.07,11.45
VSS,24,Metal1,metal,2.02,0,3.9424e-05,3.9424e-05,3.9424e-05,1.0903e-03,0.0362,0.0,0.0,0.0362,avg,ok,8.0,-2.14,6.5,-2.14
VSS,68,Metal2,metal,2.0,0,7.3424e-05,7.3424e-05,7.3424e-05,2.1591e-03,0.034,0.0,0.0,0.034,avg,ok,14.5,-2.15,13.0,-2.15
VSS,67,Metal2,metal,2.0,0,7.3424e-05,7.3424e-05,7.3424e-05,2.1591e-03,0.034,0.0,0.0,0.034,avg,ok,11.25,-2.15,13.0,-2.15
VSS,20,Metal1,metal,0.5,0,8.0737e-06,8.0737e-06,8.0737e-06,2.6989e-04,0.0299,0.0,0.0,0.0299,avg,ok,-0.365,2.435,-0.365,-1.13
VSS,28,Metal1,metal,0.5,0,8.0737e-06,8.0737e-06,8.0737e-06,2.6989e-04,0.0299,0.0,0.0,0.0299,avg,ok,8.935,2.435,8.935,-1.13
VSS,36,Metal1,metal,0.5,0,8.0737e-06,8.0737e-06,8.0737e-06,2.6989e-04,0.0299,0.0,0.0,0.0299,avg,ok,18.235,2.435,18.235,-1.13
VSS,44,Metal1,metal,0.5,0,8.0737e-06,8.0737e-06,8.0737e-06,2.6989e-04,0.0299,0.0,0.0,0.0299,avg,ok,27.535,2.435,27.535,-1.13
