net,sid,layer,kind,width_um,cuts,i_avg,i_rms,i_peak,imax_avg,ratio_avg,ratio_rms,ratio_peak,worst,worst_kind,tier,x1,y1,x2,y2
VREG,18,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,6.99,6.926,6.99,4.617
VREG,32,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,25.59,6.926,25.59,4.617
VREG,40,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,34.89,6.926,34.89,4.617
VREG,46,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,44.19,6.926,44.19,4.617
VREG,24,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,16.29,6.926,16.29,4.617
VREG,47,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,7.84,8.44,7.84,5.35
VREG,2,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,49.465,5.082,49.465,5.165
VREG,91,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,50.315,5.388,50.315,3.35
VREG,26,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,25.59,9.532,25.59,9.565
VREG,34,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,34.89,9.532,34.89,9.565
VREG,96,Metal2,metal,0.33,0,1.9488e-05,1.9488e-05,1.9488e-05,3.5625e-04,0.0547,0.0,0.0,0.0547,avg,ok,7.078,11.7,7.0,11.7
VREG,95,Metal2,metal,0.33,0,1.9488e-05,1.9488e-05,1.9488e-05,3.5625e-04,0.0547,0.0,0.0,0.0547,avg,ok,6.912,11.7,7.0,11.7
VREG,10,Metal1,metal,0.14,0,3.5710e-06,3.5710e-06,3.5710e-06,7.5568e-05,0.0473,0.0,0.0,0.0473,avg,ok,7.078,9.4,7.07,9.565
VSS,35,Metal1,metal,7.5286,0,1.5993e-04,1.5993e-04,1.5993e-04,4.0637e-03,0.0394,0.0,0.0,0.0394,avg,ok,40.707,-1.3,37.014,-1.13
VREG,87,Metal1,metal,2.0,0,3.6897e-05,3.6897e-05,3.6897e-05,1.0795e-03,0.0342,0.0,0.0,0.0342,avg,ok,51.0,11.7,50.315,11.53
VREG,45,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,44.19,2.309,44.19,4.617
VREG,1,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,49.465,5.582,49.465,5.165
VREG,41,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,44.19,9.782,44.19,9.565
VREG,19,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,16.29,9.782,16.29,9.565
VREG,25,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,25.59,9.782,25.59,9.565
VREG,33,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,34.89,9.782,34.89,9.565
VREG,6,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,49.465,2.417,49.465,4.835
VREG,23,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,16.29,2.309,16.29,4.617
VREG,39,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,34.89,2.309,34.89,4.617
VREG,52,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,17.14,5.0,17.14,5.35
VREG,60,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,35.74,5.0,35.74,5.35
VREG,64,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,45.04,5.0,45.04,5.35
VREG,17,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,6.99,2.309,6.99,4.617
